"","id","v3_1","v3_2","v3_3","a1b1","a1c1","a1d1","a1e1","a2","a3","a4a","b3","b5a","b11a2","c5a1","d4a","d4b","d4c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","socialLevel","incomePer","incomeFam","occ","occR","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"53",60,22,7,108,2,1953,3,2,1,4,1,4,NA,-8,30000,3,4,2,4,4,1,2021,4,1,1,68,3,1,1,2,1,0,3,NA,30000,NA,NA,4,4,1,1,1,0
"54",61,22,7,108,1,1967,2,2,1,4,1,4,NA,-8,20000,5,5,-1,4,4,4,2021,4,1,0,54,3,1,1,1,1,0,5,NA,20000,NA,NA,4,4,4,1,1,1
"55",62,22,28,103,2,1996,7,2,1,2,1,NA,NA,-8,50000,4,3,2,4,4,4,2021,4,1,1,25,1,1,1,4,1,0,4,NA,50000,NA,NA,4,4,4,1,1,1
"56",63,22,28,103,1,1968,3,2,1,4,1,4,NA,-8,52000,4,4,-1,4,2,2,2021,4,1,0,53,3,1,1,2,1,0,4,NA,52000,NA,NA,4,2,2,1,0,0
"57",64,22,7,108,2,1968,2,2,1,4,1,4,NA,-8,20000,5,5,5,4,1,1,2021,4,1,1,53,3,1,1,1,1,0,5,NA,20000,NA,NA,4,1,1,1,0,0
"58",65,22,7,108,1,1958,3,2,1,4,1,4,NA,-8,90000,3,3,3,3,1,1,2021,4,1,0,63,3,1,1,2,1,0,3,NA,90000,NA,NA,3,1,1,1,0,0
"59",66,22,28,103,1,1986,3,2,1,4,1,3,10,40000,80000,3,5,3,3,3,3,2021,4,1,0,35,2,1,1,2,1,0,3,40000,80000,10,0,3,3,3,1,1,1
"60",67,22,28,103,2,1969,2,2,1,4,1,4,NA,-8,25000,3,3,3,4,4,4,2021,4,1,1,52,3,1,1,1,1,0,3,NA,25000,NA,NA,4,4,4,1,1,1
"61",68,22,28,103,2,1970,3,2,1,4,1,4,NA,-8,50000,2,2,3,4,1,1,2021,4,1,1,51,3,1,1,2,1,0,2,NA,50000,NA,NA,4,1,1,1,0,0
"62",69,22,7,108,2,1964,2,2,1,4,1,4,NA,-8,8000,5,4,-1,3,3,3,2021,4,1,1,57,3,1,1,1,1,0,5,NA,8000,NA,NA,3,3,3,1,1,1
"63",70,22,28,103,2,1975,3,2,1,4,1,4,NA,-8,70000,4,4,-1,3,3,3,2021,4,1,1,46,2,1,1,2,1,0,4,NA,70000,NA,NA,3,3,3,1,1,1
"64",71,22,7,108,2,1962,2,2,1,4,1,4,NA,-8,5000,5,5,-1,-1,2,2,2021,4,1,1,59,3,1,1,1,1,0,5,NA,5000,NA,NA,-1,2,2,0,0,0
"65",72,22,28,103,2,1963,3,2,1,4,1,4,NA,-8,15000,4,4,4,3,3,3,2021,4,1,1,58,3,1,1,2,1,0,4,NA,15000,NA,NA,3,3,3,1,1,1
"66",74,22,28,103,1,1953,4,2,1,4,1,4,NA,20000,40000,3,3,4,4,4,4,2021,4,1,0,68,3,1,1,3,1,0,3,20000,40000,NA,NA,4,4,4,1,1,1
"67",76,22,17,100,2,1964,1,5,1,4,1,4,NA,-8,20000,3,3,4,2,2,2,2021,4,1,1,57,3,0,1,0,1,0,3,NA,20000,NA,NA,2,2,2,0,0,0
"68",77,22,17,100,2,1976,3,2,1,4,2,4,NA,10000,40000,5,5,5,4,2,1,2021,4,1,1,45,2,1,0,2,1,0,5,10000,40000,NA,NA,4,2,1,1,0,0
"69",78,22,7,108,2,1974,2,3,1,4,2,4,NA,-8,35000,5,5,5,4,-1,-1,2021,4,1,1,47,2,1,0,1,1,0,5,NA,35000,NA,NA,4,-1,-1,1,0,0
"70",79,22,7,108,1,1972,2,3,1,4,1,4,NA,-8,80000,4,5,3,4,2,1,2021,4,1,0,49,2,1,1,1,1,0,4,NA,80000,NA,NA,4,2,1,1,0,0
"71",80,22,7,108,1,1954,3,5,3,4,1,4,NA,-8,15000,5,5,4,4,3,3,2021,4,1,0,67,3,0,1,2,0,0,5,NA,15000,NA,NA,4,3,3,1,1,1
"72",81,22,7,108,2,1977,2,2,1,4,1,4,NA,-8,40000,4,3,3,4,2,2,2021,4,1,1,44,2,1,1,1,1,0,4,NA,40000,NA,NA,4,2,2,1,0,0
"73",83,22,17,100,2,1969,3,2,1,4,1,4,NA,20000,20000,5,5,5,4,4,4,2021,4,1,1,52,3,1,1,2,1,0,5,20000,20000,NA,NA,4,4,4,1,1,1
"74",84,22,17,100,2,1962,2,2,1,4,1,4,NA,-8,25000,5,5,5,4,4,-1,2021,4,1,1,59,3,1,1,1,1,0,5,NA,25000,NA,NA,4,4,-1,1,1,0
"75",85,22,17,100,1,1962,2,2,1,4,1,3,9,2400,14000,4,4,4,4,3,3,2021,4,1,0,59,3,1,1,1,1,0,4,2400,14000,9,0,4,3,3,1,1,1
"76",86,22,17,100,1,1955,3,2,1,4,1,4,NA,-8,150000,3,3,3,4,4,4,2021,4,1,0,66,3,1,1,2,1,0,3,NA,150000,NA,NA,4,4,4,1,1,1
"77",87,22,17,100,1,1964,3,2,1,4,1,4,NA,-8,50000,4,3,5,4,4,4,2021,4,1,0,57,3,1,1,2,1,0,4,NA,50000,NA,NA,4,4,4,1,1,1
"78",88,22,17,100,1,1973,3,4,1,4,1,3,10,6000,15000,5,4,5,2,2,2,2021,4,1,0,48,2,0,1,2,1,0,5,6000,15000,10,0,2,2,2,0,0,0
"79",89,22,17,100,2,1987,3,2,3,4,1,4,NA,2000,60000,4,5,3,3,2,2,2021,4,1,1,34,2,1,1,2,0,0,4,2000,60000,NA,NA,3,2,2,1,0,0
"80",91,22,17,100,1,1955,2,2,1,4,1,NA,NA,-8,13200,5,5,5,4,4,4,2021,4,1,0,66,3,1,1,1,1,0,5,NA,13200,NA,NA,4,4,4,1,1,1
"81",92,22,17,100,2,1954,2,2,1,4,2,NA,NA,4000,4000,5,5,4,2,2,2,2021,4,1,1,67,3,1,0,1,1,0,5,4000,4000,NA,NA,2,2,2,0,0,0
