"","id","a1_1_a","a1b1_a","a1d1","a1e1","a2","a3","a4a","a5a","b3a","b4a","fam_inc","c51a2","c51a3","c51b2","c51b3","c51c2","c51c3","d3a","d3b","d3c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","party","incomFam","socialLevel","occ","occR","occP","occPr","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"126",3104010,1974,1,4,2,10,4,2,NA,1,6,186000,1,3,1,3,1,6,3,2,3,4,4,4,2019,4,1,0,45,2,1,0,3,0,186000,3,6,0,6,0,4,4,4,1,1,1
"127",3106018,1964,2,3,2,10,4,1,NA,4,NA,96000,1,5,1,5,1,3,4,3,3,4,1,1,2019,4,1,1,55,3,1,1,2,0,96000,4,NA,0,3,1,4,1,1,1,0,0
"128",3106012,1962,2,3,2,10,4,2,NA,NA,NA,60000,NA,NA,NA,NA,NA,NA,4,3,2,4,4,4,2019,4,1,1,57,3,1,0,2,0,60000,4,NA,NA,NA,NA,4,4,4,1,1,1
"129",3107009,2001,1,4,1,10,4,1,NA,1,5,228000,NA,NA,NA,NA,NA,NA,4,5,3,4,4,3,2019,4,1,0,18,18,0,1,3,0,228000,4,5,0,NA,NA,4,4,3,1,1,1
"130",3101001,1978,2,7,2,10,4,2,NA,1,3,2e+05,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,2019,4,1,1,41,2,1,0,4,0,2e+05,3,3,1,NA,NA,4,4,4,1,1,1
"131",3104004,1956,1,6,2,10,4,2,NA,NA,NA,80000,1,5,5,13,1,14,5,5,5,4,4,4,2019,4,1,0,63,3,1,0,3,0,80000,5,NA,NA,14,NA,4,4,4,1,1,1
"132",3104014,1993,1,5,2,10,4,2,NA,1,6,254800,1,10,1,7,3,12,5,5,5,4,4,4,2019,4,1,0,26,1,1,0,3,0,254800,5,6,0,12,0,4,4,4,1,1,1
"133",3104016,1986,1,7,2,10,4,2,NA,1,2,160000,2,1,2,1,1,11,5,5,5,3,3,3,2019,4,1,0,33,2,1,0,4,0,160000,5,2,1,11,0,3,3,3,1,1,1
"134",3104018,1979,2,4,2,10,4,2,NA,1,9,2e+05,2,1,2,1,1,3,4,5,4,3,3,3,2019,4,1,1,40,2,1,0,3,0,2e+05,4,9,0,3,1,3,3,3,1,1,1
"135",3107025,1982,2,2,2,10,4,1,NA,NA,NA,72000,NA,NA,NA,NA,NA,NA,5,6,5,4,4,4,2019,4,1,1,37,2,1,1,1,0,72000,5,NA,NA,NA,NA,4,4,4,1,1,1
"136",3107002,1968,2,2,2,10,4,1,NA,NA,NA,90150,5,1,5,1,1,8,4,4,3,4,4,4,2019,4,1,1,51,3,1,1,1,0,90150,4,NA,NA,8,0,4,4,4,1,1,1
"137",1102063,1970,2,2,2,10,4,1,NA,1,5,30000,NA,NA,NA,NA,NA,NA,4,5,2,4,4,4,2019,4,1,1,49,2,1,1,1,0,30000,4,5,0,NA,NA,4,4,4,1,1,1
"138",1102086,1976,2,9,2,10,1,2,NA,1,2,6e+05,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,2019,4,1,1,43,2,1,0,4,1,6e+05,4,2,1,NA,NA,4,3,3,1,1,1
"139",1102039,1951,1,3,2,10,1,2,NA,NA,NA,130000,2,11,2,11,2,11,3,2,4,3,3,3,2019,4,1,0,68,3,1,0,2,1,130000,3,NA,NA,11,0,3,3,3,1,1,1
"140",1104015,1988,2,8,1,10,4,2,NA,1,10,360000,1,3,1,3,NA,NA,4,4,3,4,4,3,2019,4,1,1,31,2,0,0,4,0,360000,4,10,0,NA,NA,4,4,3,1,1,1
"141",1102031,1974,2,9,2,10,4,2,NA,1,3,4e+05,1,4,1,4,1,7,2,3,2,3,3,5,2019,4,1,1,45,2,1,0,4,0,4e+05,2,3,1,7,0,3,3,5,1,1,NA
"142",1102082,1962,2,7,2,13,1,2,NA,NA,NA,134000,NA,NA,NA,NA,NA,NA,4,3,4,4,3,3,2019,4,1,1,57,3,1,0,4,1,134000,4,NA,NA,NA,NA,4,3,3,1,1,1
"143",1104079,1980,2,8,2,10,4,2,NA,1,9,198750,1,2,1,2,1,3,4,4,4,3,3,3,2019,4,1,1,39,2,1,0,4,0,198750,4,9,0,3,1,3,3,3,1,1,1
"144",1104075,1956,1,3,2,10,1,2,NA,NA,NA,344000,2,1,2,1,1,3,3,2,3,4,3,4,2019,4,1,0,63,3,1,0,2,1,344000,3,NA,NA,3,1,4,3,4,1,1,1
"145",1104050,1954,2,4,5,12,4,2,NA,NA,NA,39200,1,3,1,4,1,4,5,5,5,2,2,5,2019,4,1,1,65,3,0,0,3,0,39200,5,NA,NA,4,1,2,2,5,0,0,NA
"146",1104030,1952,1,3,2,10,1,2,NA,NA,NA,1e+05,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,2019,4,1,0,67,3,1,0,2,1,1e+05,3,NA,NA,NA,NA,4,3,3,1,1,1
"147",1104062,1961,2,4,2,10,4,2,NA,NA,NA,82000,NA,NA,NA,NA,NA,NA,4,5,4,4,2,2,2019,4,1,1,58,3,1,0,3,0,82000,4,NA,NA,NA,NA,4,2,2,1,0,0
