"","id","s41","a2","a3a","s5","a18","a4","a10","a7a","a8a","a43a","a62","a69","a73","a87","a88","a59j","a59k","d302","d303","year","wave","time","province","rural","female","age","corhort","marriage","socialLevel","hukouRural","race","party","party_parter","edu","incomePer","incomeFam","job","occ","occR","occ_parter","occ_parterR","trust_gover","trust_local","trust_goverR","trust_localR"
"5613",5613,220000,2,1970,1,1,1,4,4,0,1,9000,3,4,2,3,NA,NA,3,2,2010,3,0,"吉林省",0,1,40,2,1,1,1,1,0,0,2,0,9000,NA,NA,NA,3,0,3,2,NA,0
"5614",5614,220000,2,1954,1,4,1,4,3,9999999,2,9999998,3,4,5,6,NA,NA,5,5,2010,3,0,"吉林省",0,1,56,3,1,2,0,1,0,0,1,NA,NA,NA,NA,NA,6,0,5,5,1,1
"5615",5615,220000,2,1949,1,2,1,4,7,13920,4,13920,3,4,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,61,3,1,4,0,1,0,0,3,13920,13920,NA,NA,NA,NA,NA,4,4,1,1
"5616",5616,220000,1,1954,1,2,1,4,6,12000,2,40000,3,4,NA,NA,NA,NA,5,3,2010,3,0,"吉林省",0,0,56,3,1,2,0,1,0,0,3,12000,40000,NA,NA,NA,NA,NA,5,3,1,NA
"5617",5617,220000,2,1978,1,2,1,4,6,40000,1,57000,3,4,5,3,5,3,5,5,2010,3,0,"吉林省",0,1,32,2,1,1,0,1,0,0,3,40000,57000,5,3,0,3,0,5,5,1,1
"5618",5618,220000,2,1970,1,1,1,4,4,50000,2,1e+05,3,4,5,3,5,3,3,3,2010,3,0,"吉林省",0,1,40,2,1,2,1,1,0,0,2,50000,1e+05,5,3,0,3,0,3,3,NA,NA
"5619",5619,220000,1,1978,1,2,1,4,10,30000,5,50000,1,NA,NA,NA,5,NA,4,4,2010,3,0,"吉林省",0,0,32,2,0,5,0,1,0,NA,4,30000,50000,5,NA,0,NA,NA,4,4,1,1
"5620",5620,220000,2,1969,1,2,1,4,9,20000,4,45000,3,1,5,3,2,1,3,3,2010,3,0,"吉林省",0,1,41,2,1,4,0,1,0,1,4,20000,45000,2,1,1,3,0,3,3,NA,NA
"5621",5621,220000,1,1953,1,2,1,4,4,10000,1,10000,3,4,NA,NA,5,3,5,5,2010,3,0,"吉林省",0,0,57,3,1,1,0,1,0,0,2,10000,10000,5,3,0,NA,NA,5,5,1,1
"5622",5622,220000,1,1937,1,2,1,4,7,30000,5,50000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",0,0,73,4,1,5,0,1,0,0,3,30000,50000,NA,NA,NA,NA,NA,5,5,1,1
"5623",5623,220000,2,1951,1,2,1,4,4,13200,8,72000,6,NA,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",0,1,59,3,0,8,0,1,0,NA,2,13200,72000,NA,NA,NA,NA,NA,5,5,1,1
"5624",5624,220000,2,1965,1,2,1,4,6,13000,6,33000,3,1,3,1,2,1,4,4,2010,3,0,"吉林省",0,1,45,2,1,6,0,1,0,1,3,13000,33000,2,1,1,1,1,4,4,1,1
"5625",5625,220000,1,1973,1,2,1,4,10,1e+05,3,1e+05,1,NA,NA,NA,NA,NA,3,3,2010,3,0,"吉林省",0,0,37,2,0,3,0,1,0,NA,4,1e+05,1e+05,NA,NA,NA,NA,NA,3,3,NA,NA
"5626",5626,220000,1,1956,1,2,1,4,4,9600,4,36000,6,NA,NA,NA,NA,NA,5,3,2010,3,0,"吉林省",0,0,54,3,0,4,0,1,0,NA,2,9600,36000,NA,NA,NA,NA,NA,5,3,1,NA
"5627",5627,220000,1,1988,1,2,1,3,11,9999998,4,9999998,1,NA,NA,NA,1,NA,5,5,2010,3,0,"吉林省",0,0,22,1,0,4,0,1,0,NA,4,NA,NA,1,NA,1,NA,NA,5,5,1,1
"5628",5628,220000,2,1958,1,2,1,4,6,13000,3,25000,3,4,NA,NA,2,3,5,5,2010,3,0,"吉林省",0,1,52,3,1,3,0,1,0,0,3,13000,25000,2,3,0,NA,NA,5,5,1,1
"5629",5629,220000,2,1963,1,2,3,1,10,124000,7,2e+05,3,4,2,3,2,1,5,5,2010,3,0,"吉林省",0,1,47,2,1,7,0,0,1,0,4,124000,2e+05,2,1,1,3,0,5,5,1,1
"5630",5630,220000,1,1954,1,2,1,1,12,25000,7,90000,3,1,2,1,2,3,3,3,2010,3,0,"吉林省",0,0,56,3,1,7,0,1,1,1,4,25000,90000,2,3,0,1,1,3,3,NA,NA
"5631",5631,220000,2,1950,1,2,1,4,9,50000,7,9999999,3,1,NA,NA,1,NA,4,4,2010,3,0,"吉林省",0,1,60,3,1,7,0,1,0,1,4,50000,NA,1,NA,1,NA,NA,4,4,1,1
"5632",5632,220000,2,1973,1,2,1,4,4,0,3,36000,3,1,1,NA,NA,NA,4,3,2010,3,0,"吉林省",0,1,37,2,1,3,0,1,0,1,2,0,36000,NA,NA,NA,NA,1,4,3,1,NA
"5633",5633,220000,1,1958,1,1,1,4,7,20000,3,30000,3,4,5,6,5,3,5,3,2010,3,0,"吉林省",0,0,52,3,1,3,1,1,0,0,3,20000,30000,5,3,0,6,0,5,3,1,NA
"5634",5634,220000,1,1945,1,2,1,4,4,14000,6,2e+05,3,3,3,1,NA,NA,4,4,2010,3,0,"吉林省",0,0,65,3,1,6,0,1,0,0,2,14000,2e+05,NA,NA,NA,1,1,4,4,1,1
"5635",5635,220000,1,1976,1,2,1,1,13,50000,3,60000,3,4,3,1,3,1,3,2,2010,3,0,"吉林省",0,0,34,2,1,3,0,1,1,0,4,50000,60000,3,1,1,1,1,3,2,NA,0
"5636",5636,220000,2,1991,1,2,8,3,6,9999997,4,9999998,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,19,1,0,4,0,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
"5637",5637,220000,1,1990,1,2,1,3,7,30000,2,9999998,1,NA,NA,NA,2,1,2,2,2010,3,0,"吉林省",0,0,20,1,0,2,0,1,0,NA,3,30000,NA,2,1,1,NA,NA,2,2,0,0
"5638",5638,220000,1,1986,1,2,1,3,9,40000,5,50000,1,NA,NA,NA,2,3,5,2,2010,3,0,"吉林省",0,0,24,1,0,5,0,1,0,NA,4,40000,50000,2,3,0,NA,NA,5,2,1,0
"5639",5639,220000,1,1970,2,1,1,4,4,9500,3,19000,3,4,2,3,NA,NA,5,3,2010,3,0,"吉林省",1,0,40,2,1,3,1,1,0,0,2,9500,19000,NA,NA,NA,3,0,5,3,1,NA
"5640",5640,220000,1,1979,2,1,1,4,7,30000,7,30000,3,4,NA,NA,NA,NA,2,2,2010,3,0,"吉林省",1,0,31,2,1,7,1,1,0,0,3,30000,30000,NA,NA,NA,NA,NA,2,2,0,0
"5641",5641,220000,2,1946,2,1,1,4,3,1000,1,1000,6,NA,NA,NA,NA,NA,5,1,2010,3,0,"吉林省",1,1,64,3,0,1,1,1,0,NA,1,1000,1000,NA,NA,NA,NA,NA,5,1,1,0
"5642",5642,220000,1,1975,2,1,1,4,4,10000,5,10000,5,NA,NA,NA,2,3,5,3,2010,3,0,"吉林省",1,0,35,2,0,5,1,1,0,NA,2,10000,10000,2,3,0,NA,NA,5,3,1,NA
"5643",5643,220000,1,1943,2,1,1,4,4,2250,9,4540,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,0,67,3,1,9,1,1,0,0,2,2250,4540,NA,NA,NA,NA,NA,5,5,1,1
"5644",5644,220000,2,1978,2,1,1,4,4,10000,4,33000,3,4,2,3,2,3,5,5,2010,3,0,"吉林省",1,1,32,2,1,4,1,1,0,0,2,10000,33000,2,3,0,3,0,5,5,1,1
"5645",5645,220000,1,1979,2,1,1,4,3,26000,5,26000,3,4,NA,NA,2,1,3,3,2010,3,0,"吉林省",1,0,31,2,1,5,1,1,0,0,1,26000,26000,2,1,1,NA,NA,3,3,NA,NA
"5646",5646,220000,1,1974,2,1,1,3,4,20000,5,34000,3,3,2,3,2,3,3,3,2010,3,0,"吉林省",1,0,36,2,1,5,1,1,0,0,2,20000,34000,2,3,0,3,0,3,3,NA,NA
"5647",5647,220000,1,1965,2,1,1,4,3,15000,3,30000,3,4,5,3,NA,NA,4,1,2010,3,0,"吉林省",1,0,45,2,1,3,1,1,0,0,1,15000,30000,NA,NA,NA,3,0,4,1,1,0
"5648",5648,220000,2,1943,2,1,1,4,1,2520,1,2520,6,NA,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,1,67,3,0,1,1,1,0,NA,0,2520,2520,NA,NA,NA,NA,NA,5,5,1,1
"5649",5649,220000,2,1990,2,1,1,3,4,0,5,40000,1,NA,NA,NA,5,3,5,2,2010,3,0,"吉林省",1,1,20,1,0,5,1,1,0,NA,2,0,40000,5,3,0,NA,NA,5,2,1,0
"5650",5650,220000,2,1965,2,1,1,4,1,4000,1,8000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,1,45,2,1,1,1,1,0,0,0,4000,8000,NA,NA,NA,NA,NA,5,5,1,1
"5651",5651,220000,1,1952,2,1,1,4,3,2000,2,4000,3,4,NA,NA,NA,NA,5,2,2010,3,0,"吉林省",1,0,58,3,1,2,1,1,0,0,1,2000,4000,NA,NA,NA,NA,NA,5,2,1,0
"5652",5652,220000,1,1943,2,1,1,4,3,2500,6,15720,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,0,67,3,1,6,1,1,0,0,1,2500,15720,NA,NA,NA,NA,NA,5,5,1,1
"5653",5653,220000,2,1958,2,1,1,4,1,9000,1,13000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,1,52,3,1,1,1,1,0,0,0,9000,13000,NA,NA,NA,NA,NA,5,5,1,1
"5654",5654,220000,1,1950,2,2,1,1,4,10000,5,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,0,60,3,1,5,0,1,1,0,2,10000,10000,NA,NA,NA,NA,NA,5,5,1,1
"5655",5655,220000,2,1981,2,1,1,4,4,5000,1,10000,3,4,NA,NA,NA,NA,4,1,2010,3,0,"吉林省",1,1,29,1,1,1,1,1,0,0,2,5000,10000,NA,NA,NA,NA,NA,4,1,1,0
"5656",5656,220000,2,1974,2,1,1,4,4,9999997,1,25000,3,4,2,3,NA,NA,4,3,2010,3,0,"吉林省",1,1,36,2,1,1,1,1,0,0,2,NA,25000,NA,NA,NA,3,0,4,3,1,NA
"5657",5657,220000,1,1947,2,1,1,4,3,4720,4,5440,3,4,NA,NA,NA,NA,5,4,2010,3,0,"吉林省",1,0,63,3,1,4,1,1,0,0,1,4720,5440,NA,NA,NA,NA,NA,5,4,1,1
"5658",5658,220000,2,1987,2,1,1,3,10,12000,5,20000,1,NA,NA,NA,5,3,5,3,2010,3,0,"吉林省",1,1,23,1,0,5,1,1,0,NA,4,12000,20000,5,3,0,NA,NA,5,3,1,NA
"5659",5659,220000,2,1947,2,2,1,4,4,0,6,65900,3,1,NA,NA,NA,NA,5,3,2010,3,0,"吉林省",1,1,63,3,1,6,0,1,0,1,2,0,65900,NA,NA,NA,NA,NA,5,3,1,NA
"5660",5660,220000,1,1962,2,1,1,4,6,10000,1,20600,3,4,2,1,2,1,5,4,2010,3,0,"吉林省",1,0,48,2,1,1,1,1,0,0,3,10000,20600,2,1,1,1,1,5,4,1,1
"5661",5661,220000,1,1985,2,1,1,4,8,15000,4,53900,3,4,NA,NA,2,3,3,3,2010,3,0,"吉林省",1,0,25,1,1,4,1,1,0,0,3,15000,53900,2,3,0,NA,NA,3,3,NA,NA
"5662",5662,220000,1,1946,2,1,1,4,7,11000,5,17000,3,4,NA,NA,3,2,5,3,2010,3,0,"吉林省",1,0,64,3,1,5,1,1,0,0,3,11000,17000,3,2,1,NA,NA,5,3,1,NA
"5663",5663,220000,1,1948,2,1,1,4,3,8000,5,8000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",1,0,62,3,1,5,1,1,0,0,1,8000,8000,NA,NA,NA,NA,NA,5,5,1,1
"5664",5664,220000,1,1961,1,2,1,4,4,9999999,5,9999999,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,0,49,2,0,5,0,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
"5665",5665,220000,2,1958,1,2,1,4,9,20000,1,40000,3,4,3,2,NA,NA,3,3,2010,3,0,"吉林省",0,1,52,3,1,1,0,1,0,0,4,20000,40000,NA,NA,NA,2,1,3,3,NA,NA
"5666",5666,220000,2,1938,1,2,1,1,7,30000,3,50000,3,1,NA,NA,NA,NA,5,4,2010,3,0,"吉林省",0,1,72,4,1,3,0,1,1,1,3,30000,50000,NA,NA,NA,NA,NA,5,4,1,1
"5667",5667,220000,2,1960,1,1,1,4,1,0,1,30000,3,4,NA,NA,NA,NA,4,2,2010,3,0,"吉林省",0,1,50,3,1,1,1,1,0,0,0,0,30000,NA,NA,NA,NA,NA,4,2,1,0
"5668",5668,220000,1,1991,1,2,1,3,12,9999997,5,9999998,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,0,19,1,0,5,0,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
"5669",5669,220000,1,1957,1,2,1,4,6,9999997,1,15000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",0,0,53,3,1,1,0,1,0,0,3,NA,15000,NA,NA,NA,NA,NA,5,5,1,1
"5670",5670,220000,2,1986,1,1,1,4,4,10000,1,20000,1,NA,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,24,1,0,1,1,1,0,NA,2,10000,20000,NA,NA,NA,NA,NA,4,4,1,1
"5671",5671,220000,1,1970,1,2,1,4,11,9999997,1,56000,3,4,NA,NA,NA,NA,3,5,2010,3,0,"吉林省",0,0,40,2,1,1,0,1,0,0,4,NA,56000,NA,NA,NA,NA,NA,3,5,NA,1
"5672",5672,220000,2,1974,1,2,1,1,9,18000,2,54000,3,1,1,NA,3,1,4,4,2010,3,0,"吉林省",0,1,36,2,1,2,0,1,1,1,4,18000,54000,3,1,1,NA,1,4,4,1,1
"5673",5673,220000,2,1957,1,2,1,4,6,12000,1,60000,3,4,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,1,53,3,1,1,0,1,0,0,3,12000,60000,NA,NA,NA,NA,NA,4,4,1,1
"5674",5674,220000,1,1968,1,2,1,1,6,15000,3,9999999,3,4,NA,NA,3,1,4,4,2010,3,0,"吉林省",0,0,42,2,1,3,0,1,1,0,3,15000,NA,3,1,1,NA,NA,4,4,1,1
"5675",5675,220000,2,1965,1,2,1,4,6,10000,1,20000,3,4,5,3,4,2,4,3,2010,3,0,"吉林省",0,1,45,2,1,1,0,1,0,0,3,10000,20000,4,2,1,3,0,4,3,1,NA
"5676",5676,220000,2,1976,1,2,1,4,6,10000,1,10000,5,NA,NA,NA,1,NA,4,4,2010,3,0,"吉林省",0,1,34,2,0,1,0,1,0,NA,3,10000,10000,1,NA,1,NA,NA,4,4,1,1
"5677",5677,220000,1,1965,1,2,1,4,9,40000,6,50000,3,4,2,3,3,1,4,3,2010,3,0,"吉林省",0,0,45,2,1,6,0,1,0,0,4,40000,50000,3,1,1,3,0,4,3,1,NA
"5678",5678,220000,2,1970,1,2,1,4,7,9999999,2,30000,3,1,2,3,NA,NA,4,4,2010,3,0,"吉林省",0,1,40,2,1,2,0,1,0,1,3,NA,30000,NA,NA,NA,3,0,4,4,1,1
"5679",5679,220000,2,1972,1,2,1,1,9,12000,1,32000,3,4,5,3,2,3,4,3,2010,3,0,"吉林省",0,1,38,2,1,1,0,1,1,0,4,12000,32000,2,3,0,3,0,4,3,1,NA
