"","id","q2","province_id","v82","v83","v2","v84","v111","v110","v109","v101","v123","v130","v73b","v73c","year","wave","time","province","female","age","corhort","marriage","hukouRural","race","party","edu","eduyear","occ","occR_father","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"122",1704,12010212,12,2,66,2,1,3,0,0,2,1,4,6,5,2002,1,0,"天津市",1,66,3,1,0,1,1,0,0,2,1,1,6,5,1,1
"123",1691,12010211,12,2,69,2,1,1,0,0,2,1,4,6,6,2002,1,0,"天津市",1,69,3,1,0,1,0,0,0,2,1,1,6,6,1,1
"124",1697,12010211,12,1,46,2,1,1,2,9,2,1,4,6,6,2002,1,0,"天津市",0,46,2,1,0,1,0,2,9,2,1,1,6,6,1,1
"125",1695,12010211,12,2,39,2,1,1,3,14,2,1,4,6,6,2002,1,0,"天津市",1,39,2,1,0,1,0,3,14,2,1,1,6,6,1,1
"126",1690,12010211,12,2,70,2,1,1,0,0,9,1,10,8,8,2002,1,0,"天津市",1,70,4,1,0,1,0,0,0,9,0,0,8,8,NA,NA
"127",1689,12010211,12,1,67,2,1,1,2,9,2,1,10,6,6,2002,1,0,"天津市",0,67,3,1,0,1,0,2,9,2,0,1,6,6,1,1
"128",1692,12010211,12,2,43,2,1,1,3,11,2,1,4,5,6,2002,1,0,"天津市",1,43,2,1,0,1,0,3,11,2,1,1,5,6,1,1
"129",1761,12022211,12,1,37,1,1,1,2,9,97,1,10,6,4,2002,1,0,"天津市",0,37,2,1,1,1,0,2,9,97,0,NA,6,4,1,0
"130",1765,12022211,12,1,66,1,1,1,0,4,97,1,10,6,6,2002,1,0,"天津市",0,66,3,1,1,1,0,0,4,97,0,NA,6,6,1,1
"131",1762,12022211,12,1,35,1,1,2,3,11,97,1,10,5,3,2002,1,0,"天津市",0,35,2,1,1,1,0,3,11,97,0,NA,5,3,1,0
"132",1763,12022211,12,2,38,1,1,1,2,8,97,1,10,4,4,2002,1,0,"天津市",1,38,2,1,1,1,0,2,8,97,0,NA,4,4,0,0
"133",1764,12022211,12,2,37,1,1,1,3,10,97,1,10,5,1,2002,1,0,"天津市",1,37,2,1,1,1,0,3,10,97,0,NA,5,1,1,0
"134",1769,12022212,12,2,32,1,1,1,2,7,97,1,10,8,0,2002,1,0,"天津市",1,32,2,1,1,1,0,2,7,97,0,NA,8,0,NA,0
"135",1767,12022212,12,2,54,1,1,2,0,5,97,1,10,6,6,2002,1,0,"天津市",1,54,3,1,1,1,0,0,5,97,0,NA,6,6,1,1
"136",1770,12022212,12,2,50,1,1,1,1,6,97,1,10,6,4,2002,1,0,"天津市",1,50,3,1,1,1,0,1,6,97,0,NA,6,4,1,0
"137",1766,12022212,12,1,19,1,1,1,2,9,97,0,10,6,4,2002,1,0,"天津市",0,19,1,0,1,1,0,2,9,97,0,NA,6,4,1,0
"138",1768,12022212,12,1,50,1,1,1,0,6,97,1,10,6,4,2002,1,0,"天津市",0,50,3,1,1,1,0,0,6,97,0,NA,6,4,1,0
"139",1774,12022221,12,2,18,1,1,2,3,11,97,0,10,5,5,2002,1,0,"天津市",1,18,1,0,1,1,0,3,11,97,0,NA,5,5,1,1
"140",1773,12022221,12,2,26,1,1,1,2,9,97,1,10,6,5,2002,1,0,"天津市",1,26,1,1,1,1,0,2,9,97,0,NA,6,5,1,1
"141",1771,12022221,12,1,58,1,1,1,0,0,97,0,10,5,5,2002,1,0,"天津市",0,58,3,0,1,1,0,0,0,97,0,NA,5,5,1,1
"142",1775,12022221,12,1,31,1,1,1,2,9,97,1,10,6,6,2002,1,0,"天津市",0,31,2,1,1,1,0,2,9,97,0,NA,6,6,1,1
"143",1772,12022221,12,2,63,1,1,1,0,0,97,1,10,8,8,2002,1,0,"天津市",1,63,3,1,1,1,0,0,0,97,0,NA,8,8,NA,NA
"144",1778,12022222,12,1,58,2,1,1,3,12,1,1,4,6,5,2002,1,0,"天津市",0,58,3,1,0,1,0,3,12,1,1,1,6,5,1,1
"145",1779,12022222,12,1,20,1,1,1,2,9,97,0,8,6,4,2002,1,0,"天津市",0,20,1,0,1,1,0,2,9,97,1,NA,6,4,1,0
"146",1777,12022222,12,1,67,1,1,1,1,5,97,1,10,6,5,2002,1,0,"天津市",0,67,3,1,1,1,0,1,5,97,0,NA,6,5,1,1
"147",1780,12022222,12,2,37,1,1,1,1,4,97,1,10,6,6,2002,1,0,"天津市",1,37,2,1,1,1,0,1,4,97,0,NA,6,6,1,1
"148",1776,12022222,12,2,39,1,1,1,2,9,97,1,10,6,6,2002,1,0,"天津市",1,39,2,1,1,1,0,2,9,97,0,NA,6,6,1,1
"149",2178,13010311,13,2,47,2,1,1,1,5,6,1,10,5,5,2002,1,0,"河北省",1,47,2,1,0,1,0,1,5,6,0,0,5,5,1,1
"150",2175,13010311,13,2,28,1,1,1,3,12,6,1,10,5,3,2002,1,0,"河北省",1,28,1,1,1,1,0,3,12,6,0,0,5,3,1,0
"151",2180,13010312,13,2,30,2,15,1,2,8,97,1,4,5,5,2002,1,0,"河北省",1,30,2,1,0,0,0,2,8,97,1,NA,5,5,1,1
"152",2206,13010322,13,1,50,2,1,3,2,8,1,1,10,5,5,2002,1,0,"河北省",0,50,3,1,0,1,1,2,8,1,0,1,5,5,1,1
"153",2204,13010322,13,1,42,2,1,3,3,10,2,1,5,6,6,2002,1,0,"河北省",0,42,2,1,0,1,1,3,10,2,1,1,6,6,1,1
"154",2184,13010312,13,2,40,1,1,1,1,7,97,1,4,8,8,2002,1,0,"河北省",1,40,2,1,1,1,0,1,7,97,1,NA,8,8,NA,NA
"155",2203,13010322,13,1,39,2,1,3,5,14,2,1,5,4,4,2002,1,0,"河北省",0,39,2,1,0,1,1,4,14,2,1,1,4,4,0,0
"156",2207,13010322,13,2,54,2,1,3,5,15,3,1,4,6,5,2002,1,0,"河北省",1,54,3,1,0,1,1,4,15,3,1,1,6,5,1,1
