"","id","Proid","A1","A2","A3A","A4","SE1","SE1A","SE9","SE17","SE8","SE4","SE3","SE2","E1B","E1H","year","wave","province","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","incomeFam","job","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2609",3741109,37,1,2,18,1,7,13,2,1,6,8,11,96,6,4,2014,1,"山东省",1,0,18,1,0,6,0,1,4,13,0,NA,96,11,0,6,4,1,0
"2610",3741108,37,1,2,63,1,5,11,1,2,10,8,2,93,6,5,2014,1,"山东省",1,0,63,3,1,10,0,1,3,11,0,NA,93,2,1,6,5,1,1
"2611",3741107,37,1,2,27,1,2,7,1,2,1,20000,8,3,1,1,2014,1,"山东省",1,0,27,1,1,1,0,1,1,7,0,20000,3,8,0,1,1,0,0
"2612",3741105,37,1,2,55,1,3,8,3,2,9,25000,1,7,5,4,2014,1,"山东省",1,0,55,3,1,9,0,1,2,8,1,25000,7,1,1,5,4,1,0
"2613",3741104,37,1,2,54,2,3,8,1,2,9,50000,8,3,5,4,2014,1,"山东省",1,0,54,3,1,9,0,0,2,8,0,50000,3,8,0,5,4,1,0
"2614",3741102,37,2,2,30,1,5,11,1,2,3,9,2,5,4,1,2014,1,"山东省",1,1,30,2,1,3,0,1,3,11,0,NA,5,2,1,4,1,0,0
"2615",3732214,37,2,1,71,1,0,4,1,2,6,9,11,1,5,5,2014,1,"山东省",1,1,71,4,1,6,1,1,0,4,0,NA,1,11,0,5,5,1,1
"2616",3732211,37,2,1,46,1,0,0,1,2,6,8,11,1,5,3,2014,1,"山东省",1,1,46,2,1,6,1,1,0,0,0,NA,1,11,0,5,3,1,0
"2617",3732210,37,1,1,43,1,2,6,1,2,5,72000,99,1,5,3,2014,1,"山东省",1,0,43,2,1,5,1,1,1,6,0,72000,1,99,NA,5,3,1,0
"2618",3732208,37,2,1,52,1,3,8,1,2,5,9,11,1,5,2,2014,1,"山东省",1,1,52,3,1,5,1,1,2,8,0,NA,1,11,0,5,2,1,0
"2619",3732206,37,1,2,39,1,0,4,1,2,6,9,11,1,6,3,2014,1,"山东省",1,0,39,2,1,6,0,1,0,4,0,NA,1,11,0,6,3,1,0
"2620",3732203,37,1,1,70,1,7,15,3,2,5,1e+05,6,93,6,3,2014,1,"山东省",1,0,70,4,1,5,1,1,4,15,1,1e+05,93,6,1,6,3,1,0
"2621",3732202,37,2,1,53,1,0,0,1,2,5,30000,11,1,9,9,2014,1,"山东省",1,1,53,3,1,5,1,1,0,0,0,30000,1,11,0,9,9,NA,NA
"2622",3732115,37,2,1,46,1,1,5,1,2,5,9,11,1,6,6,2014,1,"山东省",1,1,46,2,1,5,1,1,1,5,0,NA,1,11,0,6,6,1,1
"2623",3732114,37,2,1,33,1,2,7,1,2,6,60000,11,92,5,3,2014,1,"山东省",1,1,33,2,1,6,1,1,1,7,0,60000,92,11,0,5,3,1,0
"2624",3732113,37,2,1,47,1,1,5,1,2,5,9,11,1,6,5,2014,1,"山东省",1,1,47,2,1,5,1,1,1,5,0,NA,1,11,0,6,5,1,1
"2625",3732112,37,1,1,66,1,2,6,1,2,5,9,11,1,6,5,2014,1,"山东省",1,0,66,3,1,5,1,1,1,6,0,NA,1,11,0,6,5,1,1
"2626",3732111,37,1,1,82,1,1,4,1,2,5,9,11,96,5,4,2014,1,"山东省",1,0,82,4,1,5,1,1,1,4,0,NA,96,11,0,5,4,1,0
"2627",3732109,37,1,1,68,1,2,8,1,2,4,28800,8,3,6,4,2014,1,"山东省",1,0,68,3,1,4,1,1,1,8,0,28800,3,8,0,6,4,1,0
"2628",3732108,37,2,1,62,1,0,0,1,2,5,48000,11,1,8,4,2014,1,"山东省",1,1,62,3,1,5,1,1,0,0,0,48000,1,11,0,8,4,NA,0
"2629",3732107,37,2,1,37,1,1,5,1,2,5,9,11,1,5,4,2014,1,"山东省",1,1,37,2,1,5,1,1,1,5,0,NA,1,11,0,5,4,1,0
"2630",3732106,37,2,1,41,1,3,8,1,2,5,9,11,1,4,4,2014,1,"山东省",1,1,41,2,1,5,1,1,2,8,0,NA,1,11,0,4,4,0,0
"2631",3732105,37,2,1,50,1,0,0,1,2,5,9,11,1,5,5,2014,1,"山东省",1,1,50,3,1,5,1,1,0,0,0,NA,1,11,0,5,5,1,1
"2632",3732104,37,2,1,26,1,7,18,2,1,3,8,11,94,5,5,2014,1,"山东省",1,1,26,1,0,3,1,1,4,18,0,NA,94,11,0,5,5,1,1
"2633",3731215,37,1,1,63,1,5,14,1,2,7,1e+05,6,93,5,4,2014,1,"山东省",1,0,63,3,1,7,1,1,3,14,0,1e+05,93,6,1,5,4,1,0
"2634",3731214,37,1,1,40,1,5,11,3,2,8,9,11,6,6,3,2014,1,"山东省",1,0,40,2,1,8,1,1,3,11,1,NA,6,11,0,6,3,1,0
"2635",3731213,37,2,1,50,1,3,8,1,2,2,9,11,1,5,3,2014,1,"山东省",1,1,50,3,1,2,1,1,2,8,0,NA,1,11,0,5,3,1,0
"2636",3731212,37,2,1,62,1,0,0,1,2,6,8,11,1,5,4,2014,1,"山东省",1,1,62,3,1,6,1,1,0,0,0,NA,1,11,0,5,4,1,0
"2637",3731211,37,1,1,70,1,1,6,1,2,5,9,11,1,6,4,2014,1,"山东省",1,0,70,4,1,5,1,1,1,6,0,NA,1,11,0,6,4,1,0
"2638",3731209,37,2,1,67,1,0,0,1,2,5,9,11,1,6,5,2014,1,"山东省",1,1,67,3,1,5,1,1,0,0,0,NA,1,11,0,6,5,1,1
"2639",3731207,37,1,1,34,1,2,7,1,2,6,60000,11,6,5,2,2014,1,"山东省",1,0,34,2,1,6,1,1,1,7,0,60000,6,11,0,5,2,1,0
"2640",3731204,37,2,1,26,1,3,11,1,2,5,9,11,1,6,6,2014,1,"山东省",1,1,26,1,1,5,1,1,2,11,0,NA,1,11,0,6,6,1,1
"2641",3731203,37,2,1,26,1,7,13,2,2,5,8,10,5,4,4,2014,1,"山东省",1,1,26,1,1,5,1,1,4,13,0,NA,5,10,0,4,4,0,0
"2642",3731202,37,2,2,26,1,5,11,1,2,6,30000,6,96,6,6,2014,1,"山东省",1,1,26,1,1,6,0,1,3,11,0,30000,96,6,1,6,6,1,1
"2643",3731201,37,2,2,37,1,1,5,1,2,3,9,8,1,8,2,2014,1,"山东省",1,1,37,2,1,3,0,1,1,5,0,NA,1,8,0,8,2,NA,0
"2644",3731115,37,2,1,35,1,7,15,1,2,5,72000,8,2,4,3,2014,1,"山东省",1,1,35,2,1,5,1,1,4,15,0,72000,2,8,0,4,3,0,0
"2645",3731114,37,2,1,33,1,5,12,1,2,2,40000,8,6,6,4,2014,1,"山东省",1,1,33,2,1,2,1,1,3,12,0,40000,6,8,0,6,4,1,0
"2646",3731112,37,2,2,72,1,0,0,1,2,5,2400,11,96,5,4,2014,1,"山东省",1,1,72,4,1,5,0,1,0,0,0,2400,96,11,0,5,4,1,0
"2647",3731111,37,2,1,70,1,0,3,1,2,3,9,11,1,6,5,2014,1,"山东省",1,1,70,4,1,3,1,1,0,3,0,NA,1,11,0,6,5,1,1
"2648",3731109,37,1,2,28,1,5,15,2,2,5,9,10,10,5,3,2014,1,"山东省",1,0,28,1,1,5,0,1,3,15,0,NA,10,10,0,5,3,1,0
"2649",3731108,37,1,2,48,1,3,8,3,2,6,60000,10,4,6,4,2014,1,"山东省",1,0,48,2,1,6,0,1,2,8,1,60000,4,10,0,6,4,1,0
"2650",3731102,37,1,2,59,1,5,14,3,2,6,60000,6,93,3,3,2014,1,"山东省",1,0,59,3,1,6,0,1,3,14,1,60000,93,6,1,3,3,0,0
"2651",3731101,37,1,2,47,1,5,11,1,2,5,70000,1,5,5,5,2014,1,"山东省",1,0,47,2,1,5,0,1,3,11,0,70000,5,1,1,5,5,1,1
"2652",3722311,37,1,2,79,1,3,9,3,2,10,9,2,93,6,6,2014,1,"山东省",1,0,79,4,1,10,0,1,2,9,1,NA,93,2,1,6,6,1,1
"2653",3722310,37,2,2,21,1,7,16,2,1,9,9,11,91,5,5,2014,1,"山东省",1,1,21,1,0,9,0,1,4,16,0,NA,91,11,0,5,5,1,1
"2654",3722306,37,2,2,28,1,7,15,1,2,5,9,11,92,6,4,2014,1,"山东省",1,1,28,1,1,5,0,1,4,15,0,NA,92,11,0,6,4,1,0
"2655",3722305,37,2,2,38,1,7,15,1,2,5,60000,10,5,5,4,2014,1,"山东省",1,1,38,2,1,5,0,1,4,15,0,60000,5,10,0,5,4,1,0
"2656",3722304,37,2,2,23,1,7,15,2,2,4,20000,2,5,4,4,2014,1,"山东省",1,1,23,1,1,4,0,1,4,15,0,20000,5,2,1,4,4,0,0
"2657",3722303,37,1,2,73,1,3,8,3,2,9,9,2,93,6,6,2014,1,"山东省",1,0,73,4,1,9,0,1,2,8,1,NA,93,2,1,6,6,1,1
"2658",3722213,37,2,1,51,1,1,5,1,2,5,8,11,1,6,6,2014,1,"山东省",1,1,51,3,1,5,1,1,1,5,0,NA,1,11,0,6,6,1,1
"2659",3722209,37,2,1,69,1,0,0,1,2,5,8,11,1,6,6,2014,1,"山东省",1,1,69,3,1,5,1,1,0,0,0,NA,1,11,0,6,6,1,1
"2660",3722207,37,2,1,47,1,3,9,1,2,5,8,11,1,8,8,2014,1,"山东省",1,1,47,2,1,5,1,1,2,9,0,NA,1,11,0,8,8,NA,NA
"2661",3722205,37,1,1,30,1,7,15,2,2,5,8,11,92,5,5,2014,1,"山东省",1,0,30,2,1,5,1,1,4,15,0,NA,92,11,0,5,5,1,1
"2662",3722204,37,1,1,57,1,5,10,2,2,6,8,11,1,6,5,2014,1,"山东省",1,0,57,3,1,6,1,1,3,10,0,NA,1,11,0,6,5,1,1
"2663",3722203,37,1,2,49,1,4,9,1,2,7,8,2,10,5,4,2014,1,"山东省",1,0,49,2,1,7,0,1,2,9,0,NA,10,2,1,5,4,1,0
"2664",3721212,37,1,1,41,1,3,8,1,2,5,8,11,1,8,8,2014,1,"山东省",1,0,41,2,1,5,1,1,2,8,0,NA,1,11,0,8,8,NA,NA
"2665",3721210,37,2,1,51,1,2,6,1,2,5,8,11,1,6,5,2014,1,"山东省",1,1,51,3,1,5,1,1,1,6,0,NA,1,11,0,6,5,1,1
"2666",3721209,37,1,1,68,1,0,1,1,2,98,5000,11,1,5,5,2014,1,"山东省",1,0,68,3,1,NA,1,1,0,1,0,5000,1,11,0,5,5,1,1
"2667",3721206,37,2,1,29,1,1,6,1,2,2,8,11,1,8,5,2014,1,"山东省",1,1,29,1,1,2,1,1,1,6,0,NA,1,11,0,8,5,NA,1
"2668",3721203,37,2,1,31,1,3,9,1,2,5,8,11,1,5,4,2014,1,"山东省",1,1,31,2,1,5,1,1,2,9,0,NA,1,11,0,5,4,1,0
"2669",3721115,37,2,1,42,1,6,15,3,2,8,8,1,7,6,5,2014,1,"山东省",1,1,42,2,1,8,1,1,3,15,1,NA,7,1,1,6,5,1,1
"2670",3721113,37,2,1,27,1,3,9,1,2,2,8,11,92,4,3,2014,1,"山东省",1,1,27,1,1,2,1,1,2,9,0,NA,92,11,0,4,3,0,0
"2671",3721112,37,2,1,62,1,1,5,2,2,1,8,11,1,6,6,2014,1,"山东省",1,1,62,3,1,1,1,1,1,5,0,NA,1,11,0,6,6,1,1
"2672",3721111,37,2,1,66,1,0,0,1,2,5,8,11,1,6,3,2014,1,"山东省",1,1,66,3,1,5,1,1,0,0,0,NA,1,11,0,6,3,1,0
"2673",3721110,37,2,1,60,1,5,12,1,2,6,50000,6,93,5,4,2014,1,"山东省",1,1,60,3,1,6,1,1,3,12,0,50000,93,6,1,5,4,1,0
"2674",3721107,37,2,1,32,1,3,9,1,2,5,9,11,1,4,3,2014,1,"山东省",1,1,32,2,1,5,1,1,2,9,0,NA,1,11,0,4,3,0,0
"2675",3721106,37,1,1,36,1,3,9,1,2,5,9,11,1,6,6,2014,1,"山东省",1,0,36,2,1,5,1,1,2,9,0,NA,1,11,0,6,6,1,1
"2676",3721103,37,2,1,42,1,7,10,3,2,7,8,8,3,6,4,2014,1,"山东省",1,1,42,2,1,7,1,1,4,10,1,NA,3,8,0,6,4,1,0
"2677",3712214,37,2,1,82,1,0,4,1,4,6,8,11,1,6,5,2014,1,"山东省",1,1,82,4,0,6,1,1,0,4,0,NA,1,11,0,6,5,1,1
"2678",3712212,37,1,1,41,1,2,7,1,2,7,20000,8,6,6,6,2014,1,"山东省",1,0,41,2,1,7,1,1,1,7,0,20000,6,8,0,6,6,1,1
"2679",3712211,37,2,1,46,1,1,4,1,2,6,9,11,92,5,5,2014,1,"山东省",1,1,46,2,1,6,1,1,1,4,0,NA,92,11,0,5,5,1,1
"2680",3712208,37,2,1,57,1,0,2,1,2,9,8,11,1,6,4,2014,1,"山东省",1,1,57,3,1,9,1,1,0,2,0,NA,1,11,0,6,4,1,0
"2681",3712207,37,2,1,58,1,0,0,1,2,2,9,11,1,5,5,2014,1,"山东省",1,1,58,3,1,2,1,1,0,0,0,NA,1,11,0,5,5,1,1
"2682",3712205,37,2,1,58,1,0,0,1,2,8,8,11,1,6,3,2014,1,"山东省",1,1,58,3,1,8,1,1,0,0,0,NA,1,11,0,6,3,1,0
"2683",3712203,37,2,1,60,1,0,0,2,4,6,9,99,92,5,5,2014,1,"山东省",1,1,60,3,0,6,1,1,0,0,0,NA,92,99,NA,5,5,1,1
"2684",3712202,37,2,2,72,1,3,9,1,4,3,30000,11,93,6,4,2014,1,"山东省",1,1,72,4,0,3,0,1,2,9,0,30000,93,11,0,6,4,1,0
"2685",3712201,37,1,1,38,1,3,8,1,2,5,8,11,1,6,6,2014,1,"山东省",1,0,38,2,1,5,1,1,2,8,0,NA,1,11,0,6,6,1,1
"2686",3712115,37,1,2,64,1,6,11,3,2,6,50000,1,96,6,4,2014,1,"山东省",1,0,64,3,1,6,0,1,3,11,1,50000,96,1,1,6,4,1,0
"2687",3712108,37,2,2,70,1,5,12,3,2,8,60000,6,96,6,4,2014,1,"山东省",1,1,70,4,1,8,0,1,3,12,1,60000,96,6,1,6,4,1,0
"2688",3712106,37,1,2,50,1,6,15,3,2,6,60000,1,7,9,9,2014,1,"山东省",1,0,50,3,1,6,0,1,3,15,1,60000,7,1,1,9,9,NA,NA
"2689",3712105,37,1,2,45,1,7,12,3,2,5,50000,1,7,6,4,2014,1,"山东省",1,0,45,2,1,5,0,1,4,12,1,50000,7,1,1,6,4,1,0
"2690",3712104,37,1,2,20,1,5,12,2,1,4,30000,11,96,6,4,2014,1,"山东省",1,0,20,1,0,4,0,1,3,12,0,30000,96,11,0,6,4,1,0
"2691",3712103,37,1,2,52,1,7,13,3,2,7,120000,1,7,6,6,2014,1,"山东省",1,0,52,3,1,7,0,1,4,13,1,120000,7,1,1,6,6,1,1
"2692",3712102,37,2,1,69,1,1,6,1,4,98,8,11,1,6,4,2014,1,"山东省",1,1,69,3,0,NA,1,1,1,6,0,NA,1,11,0,6,4,1,0
"2693",3711215,37,2,1,26,1,0,5,1,2,7,8,11,92,5,4,2014,1,"山东省",1,1,26,1,1,7,1,1,0,5,0,NA,92,11,0,5,4,1,0
"2694",3711214,37,2,1,40,1,1,5,1,2,6,9,99,1,5,5,2014,1,"山东省",1,1,40,2,1,6,1,1,1,5,0,NA,1,99,NA,5,5,1,1
"2695",3711213,37,2,1,66,1,0,0,1,4,6,9,11,1,5,5,2014,1,"山东省",1,1,66,3,0,6,1,1,0,0,0,NA,1,11,0,5,5,1,1
"2696",3711212,37,1,1,52,1,1,4,1,2,9,8,8,3,6,4,2014,1,"山东省",1,0,52,3,1,9,1,1,1,4,0,NA,3,8,0,6,4,1,0
