"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2313",2313,"江苏省",2,2,39,1,9,16,7,1,2,"2",6,6,2019,1,1,1,39,2,1,7,0,1,4,16,0,"2","1",6,6,1,1
"2314",2314,"江苏省",2,2,42,1,9,15,7,1,1,"11",6,6,2019,1,1,1,42,2,0,7,0,1,4,15,0,"11","0",6,6,1,1
"2315",2315,"江苏省",2,2,64,1,3,6,5,1,2,"11",6,6,2019,1,1,1,64,3,1,5,0,1,1,6,0,"11","0",6,6,1,1
"2316",2316,"江苏省",1,2,49,1,7,12,7,1,2,"8",5,5,2019,1,1,0,49,2,1,7,0,1,3,12,0,"8","0",5,5,1,1
"2317",2317,"江苏省",2,2,47,1,7,12,6,1,2,"8",5,5,2019,1,1,1,47,2,1,6,0,1,3,12,0,"8","0",5,5,1,1
"2318",2318,"江苏省",1,2,27,1,7,12,6,1,2,"2",5,5,2019,1,1,0,27,1,1,6,0,1,3,12,0,"2","1",5,5,1,1
"2319",2319,"江苏省",2,2,43,1,9,15,6,1,2,"2",6,6,2019,1,1,1,43,2,1,6,0,1,4,15,0,"2","1",6,6,1,1
"2320",2320,"江苏省",1,2,23,1,7,12,7,1,2,"7",6,6,2019,1,1,0,23,1,1,7,0,1,3,12,0,"7","1",6,6,1,1
"2321",2321,"江苏省",2,2,44,1,9,15,6,1,2,"8",6,6,2019,1,1,1,44,2,1,6,0,1,4,15,0,"8","0",6,6,1,1
"2322",2322,"江苏省",1,2,22,1,3,6,5,1,2,"8",5,5,2019,1,1,0,22,1,1,5,0,1,1,6,0,"8","0",5,5,1,1
"2323",2323,"江苏省",1,2,29,1,9,15,7,1,2,"2",5,5,2019,1,1,0,29,1,1,7,0,1,4,15,0,"2","1",5,5,1,1
"2324",2324,"江苏省",1,2,37,1,7,12,6,1,2,"8",6,6,2019,1,1,0,37,2,1,6,0,1,3,12,0,"8","0",6,6,1,1
"2325",2325,"江苏省",1,2,47,1,9,15,6,1,2,"8",5,5,2019,1,1,0,47,2,1,6,0,1,4,15,0,"8","0",5,5,1,1
"2326",2326,"江苏省",1,2,47,1,7,11,6,1,2,"2",6,6,2019,1,1,0,47,2,1,6,0,1,3,11,0,"2","1",6,6,1,1
